source_id	title	year	authors	doi	citation_key	zotero_item_key	attachment_keys	candidate_families	catalogue_class	screening_disposition	reason
zotero:PEL2LJVE	Ηλεκτρομαγνητική μελέτη υπόγειων αγωγών	2013-04-01	Κωνσταντίνος Ράλλης	10.12681/eadd/34633	Rallis2013	PEL2LJVE	SPT7BLDE	external-impedance		extracted	Original thesis chapter 4 was image-screened; its buried, mixed, and overhead discrete-complex-image formulas were transcribed as three source-attributed records.
zotero:54RVYRFF	15 CDEGS at Work: Interpretation of Ground Impedance Measurements Made in the Sahara Desert		D Gilroy; W Ruan; F D Dawalibi			54RVYRFF	IZXH7PUJ	external-impedance		out-of-scope	Local PDF opening and worked sections inspected; this is a grounding-system field-measurement interpretation case, not a distributed line/cable parameter formulation.
zotero:9SBDHDK9	A 2D FEM Model for Impedance and Loss Calculation of Armored Three-Core Cables With Inclusion of 3D Pitching Effects	10/2023	B. Gustavsen	10.1109/TPWRD.2023.3266868	Gustavsen2023	9SBDHDK9	FMH5DPTD;QDE44PHK	internal-impedance		extracted	Original PDF screened. The paper defines a two-dimensional FEM impedance model for pitched, wire-armored three-core cables by enforcing equal armor-wire currents and representing pitching through an energy-matched complex permeability; the earth-return impedance is appended separately.
zotero:9QRVLIJ4	A closed-form approximation for ground return impedance of underground cables	7/1996	O. Saad; G. Gaba; M. Giroux	10.1109/61.517514	Saad1996	9QRVLIJ4	X3TI5A79;CEB3HUKF	external-impedance	core:C045	extracted	Original publication inspected page by page; the main self/mutual buried-cable approximation (5)-(6)/(26)-(27) and its stricter small-argument reduction (30)-(32) were verified against PDF images on printed pp. 1536-1541.
zotero:NHPIYF24	A Closed-Form Approximation for Sunde's Ground-Return Expression Based on a Padé Approximant	6/2024	Alberto De Conti; Antonio Carlos Siqueira De Lima	10.1109/TEMC.2024.3377553	DeConti2024	NHPIYF24	97GMMDDF	external-impedance		extracted	Original publication was image-screened; the Padé closed form for the Sunde underground kernel and its parent/validity definitions were transcribed.
zotero:WMY5MXRY	A COMPARISON BETWEEN CARSON'S FORMULAE AND A 2D FEM APPROACH FOR THE EVALUATION OF AC INTERFERENCE CAUSED BY OVERHEAD POWER LINES ON BURIED METALLIC PIPELINES	2017	Andrea Cristofolini; Arturo Popoli; Leonardo Sandrolini	10.2528/PIERC17080501		WMY5MXRY	ZWM5JIBI			application-only	Local PDF abstract, FEM setup, and conclusion inspected; it compares Carson and a 2-D FEM in a pipeline-interference case and does not publish a new distributed-parameter formulation.
zotero:AIW6YGZ5	A Critique of the CEA Report Powerline Ground Fault Effects on Pipelines - 239T817		Michael S Baker			AIW6YGZ5	FXZMNG4V;KQMXD7H9			out-of-scope	Local Markdown opening and argument inspected; this critiques a pipeline ground-fault report and does not publish a physical equation in the five corpus families.
zotero:V4UFTTB9	A Double Logarithmic Approximation of Carson's Ground-Return Impedance	01/2006	T. Noda	10.1109/TPWRD.2005.852307	Noda2006	V4UFTTB9	KPGXXYY5	external-impedance		extracted	Original publication inspected page by page; Carson parent equations, parameter-fit conditions, final double-logarithmic equation (25), and self/mutual substitutions were verified against PDF images on printed pp. 472-476.
zotero:UR3MCXNT	A frequency-dependent finite-difference time-domain formulation for general dispersive media	4/1993	O.P. Gandhi; B.-Q. Gao; J.-Y. Chen	10.1109/22.231661		UR3MCXNT	2EPHU84X	insulation-admittance		out-of-scope	Local PDF abstract and FDTD derivation inspected; it is a general dispersive-medium time-stepping formulation, not a published line/cable insulation-admittance expression.
zotero:E5ZY5FTA	A General Formulation of Impedance and Admittance of Cables	05/1980	A. Ametani	10.1109/TPAS.1980.319718	Ametani1980	E5ZY5FTA	Z6AGECXQ;MS5HYBLJ		core:C034	extracted	Original publication inspected; insulation component expressions and potential-coefficient assembly verified against PDF images on printed pp. 902-904
zotero:YKYBU5VW	A general method for FDTD modeling of wave propagation in arbitrary frequency-dispersive media	3/1997	W.H. Weedon; C.M. Rappaport	10.1109/8.558655		YKYBU5VW	RTNKYYPJ	insulation-admittance		out-of-scope	Local PDF abstract and method inspected; it treats arbitrary dispersive media in FDTD and was selected only by complex-permittivity keywords.
zotero:79BZQ929	A generalized FEM-based framework for earth return impedance calculations on vertically-multilayered media	2024-12-12	Lucas S. Lessa; Marco Antônio B. Ribeiro; Amauri G. Martins-Britto	10.1109/WCNPS65035.2024.10814187		79BZQ929	R3WKZRKW;XTBTJ9ZR	external-impedance		out-of-scope	Local PDF abstract and FEM weak-form sections inspected; the contribution is a case-specific finite-element solver for vertically stratified soil, not an integral/series/closed/recursive line-parameter formulation.
zotero:QM3YVDTN	A generalized model for the calculation of the impedances and admittances of overhead power lines above stratified earth	9/2010	Theofilos A. Papadopoulos; Grigoris K. Papagiannis; Dimitris P. Labridis	10.1016/j.epsr.2010.03.009	Papadopoulos2010a	QM3YVDTN	A7C23V3Z	external-impedance;external-admittance	core:C064	extracted	The 2010 paper repeats the 2009 impedance and potential kernels under a different spectral variable and adds matrix assembly and transform dependencies. The printed factor, prime, branch, and inverse ambiguities remain unresolved.
zotero:89N7X7PV	A Half-Size Singularity Test Matrix for Fast and Reliable Passivity Assessment of Rational Models	01/2009	A. Semlyen; B. Gustavsen	10.1109/TPWRD.2008.923406		89N7X7PV	H856JBLA			out-of-scope	Local PDF abstract and method inspected; the contribution is a passivity-test matrix for rational models, not a conductor, earth-return, or insulation formulation.
zotero:3E2S4XKB	A. LOTFI NO W. MOUTASSEM US J. PILGRIM GB K. PINKERT DE V. RIZOU GR O. THYRVIN SE		R Benato; S Dambone Sessa; A Falconer; Y Liu; F G Oliveira; T Takahashi			3E2S4XKB	XJ5BWP69;FL34KAAC	internal-impedance;insulation-admittance		out-of-scope	Local Markdown identifies CIGRE TB 880 and its benchmark cases; it verifies cable current-rating tools rather than publishing distributed impedance/admittance formulations.
zotero:IV3NUYUJ	A New Approach to Calculate the Ionized Field of HVDC Transmission Lines in the Space and on the Earth Surface	10/2006	S. Fortin; H. Zhao; J. Ma; F. Dawalibi	10.1109/ICPST.2006.321778		IV3NUYUJ	Q83NSSA6			out-of-scope	Local PDF abstract and method inspected; the formulation concerns HVDC corona space-charge fields, outside the requested distributed-parameter families.
zotero:SMG5GJT9	A new tool for calculation of line and cable parameters	07/2023	J. Morales; H. Xue; J. Mahseredjian; I. Kocar	10.1016/j.epsr.2023.109314		SMG5GJT9	PMIRLEXR	internal-impedance		application-only	Local PDF abstract, parameter overview, and examples inspected; it presents a software tool that combines MoM-SO and other separately published formulations.
zotero:CVUC5U7G	A Noniterative Approximation of a Full-Wave Model of Thin Wire Above and Buried in a Lossy Ground	12/2018	Antonio Carlos Siqueira De Lima; Antonio Paulo Cardillo Magalhaes; Paulo Eduardo Darski Rocha; Ruyguara A. Meyberg; Maria Teresa Correia De Barros	10.1109/TEMC.2017.2762241	DeLima2018	CVUC5U7G	T5SZKL9B			extracted	Original publication was image-screened; its quasi-full-wave single-conductor impedance and potential/admittance relations were transcribed separately.
zotero:3RD2BJH8	A Quasi-Monte Carlo Integration Method Applied to the Computation of the Pollaczek Integral	7/2008	Xavier Legrand; Alain XÉmard; GÉrard Fleury; Philippe Auriol; Carlo Alberto Nucci	10.1109/TPWRD.2007.909050		3RD2BJH8	DVNV8LTY;SPPCHXGZ	external-impedance		application-only	Abstract, Pollaczek restatement, method, and examples inspected; the contribution is a quasi-Monte-Carlo quadrature algorithm for an existing Pollaczek integral, not a new physical earth-return formulation.
catalogue:C076	A Recursive Formula for the Evaluation of Earth Return Impedance in Multilayered Media	2015	R. Iracheta-Cortez; collaborators					external-impedance;external-admittance	core:C076	duplicate	Catalogue row and Zotero row XPEHRSRV resolve to the same Iracheta-Cortez 2015 PDF and DOI; retain the Zotero row for extraction screening.
zotero:XPEHRSRV	A Recursive Formula for the Evaluation of Earth Return Impedance on Buried Cables	2015-12-14	Reynaldo Iracheta	10.15446/ing.investig.v35n3.49391	Iracheta2015	XPEHRSRV	JXNJNBDE	external-impedance		extracted	Original publication was image-screened; the recursive Wedepohl residual-integral series, initialization conflict, stopping rule, and parent decomposition were transcribed.
zotero:5P5YIGA7	A Stable Extended FDTD Thin-Wire Model for Lossy Wire Structures With Irregular Cross Sections	2/2022	Binghao Li; Yaping Du; Yang Zhang; Jinxing Cao; Mingli Chen	10.1109/TPWRD.2021.3060113		5P5YIGA7	XZNRNDAX	internal-impedance		out-of-scope	Local PDF abstract and FDTD model inspected; it develops an irregular-cross-section thin-wire cell model, not a per-unit-length internal-impedance formulation for LCM.
zotero:Q6LVW2S5	A Systematic Approach to the Evaluation of the Influence of Multilayered Earth on Overhead Power Transmission Lines	10/2005	G.K. Papagiannis; D.A. Tsiamitros; D.P. Labridis; P.S. Dokopoulos	10.1109/TPWRD.2005.855448		Q6LVW2S5	JWHYV43U	external-impedance		application-only	Local PDF abstract, integral survey, numerical-integration method, and results inspected; it compares existing multilayer-earth formulas and proposes quadrature handling, not a distinct physical kernel.
zotero:DKVCPG98	A universal model for accurate calculation of electromagnetic transients on overhead lines and underground cables	7/1999	A. Morched; B. Gustavsen; M. Tartibi	10.1109/61.772350		DKVCPG98	JZ8XNDS7			out-of-scope	Local PDF abstract and model inspected; the contribution is a universal phase-domain transient line model and rational approximation, not a physical parameter formulation.
zotero:PMPYN3IV	AC interference from faulty power cables on buried pipelines: A two‐step approach	01/2021	Giovanni Lucca	10.1049/smt2.12003		PMPYN3IV	BYWV6MJA			application-only	Local PDF abstract and two-step method inspected; it applies transmission-line models to faulted-cable/pipeline interference without a new physical parameter equation.
zotero:WAZWHAEY	Accounting for Pipeline Interference and Soil Stratification on Overhead Line Parameters: A Solution for Protective Relays and Fault Locators	2021	Caio M Moraes; Felipe V Lopes			WAZWHAEY	4NKAL65R			application-only	Local PDF abstract and method inspected; it assembles pipeline/soil effects using an existing closed-form Carson solution and applies them to relays/fault locators, without a new physical kernel.
zotero:RHEV3NC5	Accuracy Assessment of Analytical Expressions for the Ground Return Impedance of Underground Cables		Alberto De Conti; Antonio C S Lima			RHEV3NC5	BVZQ69MY	external-impedance		application-only	Local PDF/Markdown survey and comparisons inspected; it assesses published underground-cable ground-return expressions and does not claim a new formulation.
zotero:7W6AE9XD	ACCURACY OF APPROXIMATE FORMULAS FOR INTERNAL IMPEDANCE OF TUBULAR CYLINDRICAL CONDUCTORS FOR LARGE PARAMETERS	2011	Dino Lovric; Vedran Boras; Slavko Vujevic	10.2528/PIERM10121503		7W6AE9XD	YD48W9VG	internal-impedance		application-only	Local PDF formula catalogue and accuracy comparisons inspected; it evaluates existing tubular-conductor approximations and does not establish their original attribution.
zotero:4E8DC9EF	ACCURATE SIMULATION OF AC INTERFERENCE CAUSED BY ELECTRICAL POWER LINES: A PARAMETRIC ANALYSIS		J Liu; F P Dawalibi			4E8DC9EF	TFHB922L	external-impedance		application-only	Local PDF abstract and parametric study inspected; it applies established coupling/line models to AC interference.
zotero:5SBTRRXB	Accurate Transmission Line Modeling Through Optimal Time Delay Identification		Luciano De Tommasi; Bjørn Gustavsen			5SBTRRXB	MCEQXMBC			out-of-scope	Local PDF opening and method inspected; the contribution identifies time delays in fitted transmission-line models and supplies no new physical parameter equation in scope.
zotero:QG2GEN8E	Admittance Correction Effects of a Single Overhead Line	03/1981	M. Nakagawa	10.1109/TPAS.1981.316582	Nakagawa1981a	QG2GEN8E	D6C8FWJ3;JSDNW6H9;G46HVH3A;XNMYYTD3	internal-impedance;external-impedance;external-admittance	core:C036	application-only	Original PDF inspected page by page; this is a later MKS restatement and numerical application of Wise's 1948 potential-coefficient correction, not a distinct original formulation. Its equation (2) and appendix (A-3) print an undefined mu_2 in the second denominator factor; the discrepancy is retained in the linked Wise record.
reference:wiley-ametani-fuse-1992	Approximate Method for Calculating the Impedances of Multiconductors with Cross Sections of Arbitrary Shapes	1992	Akihiro Ametani; Ikuko Fuse	10.1002/eej.4391120213	Ametani1992			internal-impedance	reference-chain	extracted	Primary English translation. Publisher metadata and abstract were checked; the equation is corroborated by the official Japanese original and the later IET book.
reference:jstage-ametani-fuse-1991	任意断面導体よりなる多導線系インピーダンス近似計算法 / Approximate Method for Calculating Impedance of Multiconductor with Arbitrary Cross-Section	1991	Akihiro Ametani; Ikuko Fuse	10.1541/ieejpes1990.111.8_896	Ametani1991			internal-impedance	reference-chain	extracted	Official Japanese publication pages 896-902 inspected. Equations (1)-(6) and (14)-(15) give the arbitrary-cross-section internal impedance and equivalent-annulus radii; measured sector-cable and FEM comparisons were inspected.
zotero:5KME7IMZ	Electromagnetic Transients in Large HV Cable Networks: Modeling and Calculations	2021	Akihiro Ametani; Haoyan Xue; Teruo Ohno; Hossein Khalilnezhad	10.1049/PBPO204E	Ametani2021	5KME7IMZ	5KME7IMZ	internal-impedance	reference-chain	duplicate	Appendix A1.4.3, page 68, reproduces the Ametani-Fuse arbitrary-cross-section impedance as equation (A1.59) and identifies the original paper. It is retained as an equation-complete auxiliary witness, not counted as a new formula.
zotero:W77HEGJG	Algorithm for fast calculating the energization overvoltages along a power cable based on modal theory and numerical inverse Laplace transform	09/2022	Han Li; Peixin Yu; Shurong Li; Xuefeng Zhao; Junbo Deng; Guanjun Zhang	10.1016/j.epsr.2022.108163		W77HEGJG	4R6GWU9W			application-only	Local PDF abstract and algorithm inspected; it accelerates cable energization calculations using modal theory and numerical inverse Laplace transform, while taking line parameters as inputs.
zotero:76VYHVCS	Algorithmic Evaluation of Underground Cable Earth Impedances	01/2004	F.A. Uribe; J.L. Naredo; P. Moreno; L. Guardado	10.1109/TPWRD.2003.820181		76VYHVCS	GT7AZWXD	external-impedance	core:C053	application-only	Abstract, integral analysis, algorithm, and comparisons inspected; this provides numerical evaluation of Pollaczek's existing integral and normalized plots, not a distinct physical kernel.
zotero:XKUY4D56	Algorithms for fast calculation of energization overvoltage of hybrid overhead line-cable transmission lines based on full frequency-dependent parameters	12/2023	Borui Gu; Han Li; Shurong Li; Xiaoguang Zhu; Xuefeng Zhao; Junbo Deng; Guanjun Zhang	10.1016/j.epsr.2023.109875		XKUY4D56	36IX28WK			application-only	Local PDF abstract and method inspected; it accelerates hybrid-line energization simulations from existing frequency-dependent parameters and adds no physical parameter formulation.
zotero:3H6T8ZFJ	Alternative Series-Based Solution to Approximate Pollaczek's Integral	10/2012	Felipe A. Uribe; Abner Ramirez	10.1109/TPWRD.2012.2202199		3H6T8ZFJ	DMW6VFGD;J2AJ4PRC	internal-impedance;external-impedance		application-only	All three pages were screened. The letter reuses the Wedepohl-Wilcox series and changes only the numerically selected switching frequency between that series and quadrature; it publishes no new analytical impedance kernel or series.
catalogue:C068	Alternative Series for the Calculation of Underground Cable Earth Impedances	2012	Felipe A. Uribe; A. Ramirez					external-impedance;external-admittance	core:C068	duplicate	Catalogue row duplicates Zotero item 3H6T8ZFJ and the same local C068 PDF; retain the Zotero row for formula screening.
zotero:GKQ4BG4P	An accurate analysis of lightning overvoltages in mixed overhead-cable lines	05/2021	R. Alipio; H. Xue; A. Ametani	10.1016/j.epsr.2021.107052		GKQ4BG4P	Q77V2KSF			application-only	Local PDF abstract, line models, and results inspected; it applies existing line/cable parameter approaches to lightning overvoltages in a mixed line.
zotero:X7HMCGRV	An Approach To The Impedance Modelling of Low-Voltage Cables in Digital Twins		Rémy Cleenwerck; Hakim Azaioud; Robbert Claeys; Thierry Coosemans; Jos Knockaert; Jan Desmet			X7HMCGRV	WH2YXGHB			application-only	Abstract, stated contributions, and sections 3.1-3.3 inspected in the local preprint (PDF pp. 1-6). Proposed changes (8)-(9) specialize existing Carson/Kersting formulas to 50 Hz and metric units; solid/stranded/sector GMR and GMD relations are attributed to earlier geometry references, including Geiss-Schroer. Contribution is boundary-condition/geometry selection and digital-twin validation, not a distinct original physical parameter kernel. Useful secondary geometry witness.
