Record	Scope	Implementation	Module	Identifier	Formula source
internal-impedance/1978/propagation-dependent-solid-core/Wait1978.md	Candidate	Equivalent	InternalImpedance	Schelkunoff1934	src/engine/internalimpedance/formulas/schelkunoff1934.jl
internal-impedance/2023/armored-three-core-2d-fem/Gustavsen2023.md	Deferred	Deferred	-	-	-
internal-impedance/1934/cylindrical-conductor-surface-impedances/Schelkunoff1934.md	Candidate	Verified	InternalImpedance	Schelkunoff1934	src/engine/internalimpedance/formulas/schelkunoff1934.jl
internal-impedance/1992/arbitrary-cross-section-equivalent-annulus/Ametani1992.md	Candidate	Verified	InternalImpedance	Ametani1992	src/engine/internalimpedance/formulas/ametanifuse1992.jl
internal-impedance/1995/finite-shield-core-loop-skin-and-proximity-series/Kane1995.md	Candidate	Implemented	PipeImpedance	Kane1995	src/engine/pipeimpedance/formulas/kane1995.jl
internal-impedance/2004/bonded-two-layer-cylindrical-conductor/Ametani2004.md	Candidate	Verified	InternalImpedance	Ametani2004	src/engine/internalimpedance/formulas/ametani2004.jl
internal-impedance/2006/finite-pipe-without-core-proximity-auxiliary-model/DaSilva2006.md	Candidate	Implemented	PipeImpedance	DaSilva2006	src/engine/pipeimpedance/formulas/dasilva2006.jl
internal-impedance/2006/infinite-pipe-with-core-proximity-auxiliary-model/DaSilva2006.md	Candidate	Implemented	PipeImpedance	DaSilva2006	src/engine/pipeimpedance/formulas/dasilva2006.jl
internal-impedance/2011/inhomogeneous-euler-cauchy-tubular-conductor/BrandaoFaria2011.md	Candidate	Implemented	InternalImpedance	BrandaoFaria2011	src/engine/internalimpedance/formulas/brandaofaria2011.jl
internal-impedance/2012/subconductor-bessel-proximity-energy/Pagnetti2012.md	Deferred	Deferred	-	-	-
internal-impedance/2013/finite-pipe-low-frequency-surface-and-loop-terms/Hoidalen2013.md	Candidate	Implemented	PipeImpedance	Hoidalen2013	src/engine/pipeimpedance/formulas/hoidalen2013.jl
internal-impedance/2013/infinite-pipe-low-frequency-logarithmic-terms/Hoidalen2013.md	Candidate	Implemented	PipeImpedance	Hoidalen2013	src/engine/pipeimpedance/formulas/hoidalen2013.jl
internal-impedance/2013/round-conductor-mom-surface-admittance/Patel2013.md	Deferred	Deferred	-	-	-
internal-impedance/2013/solid-core-proximity-low-frequency-subtracted-series/Hoidalen2013.md	Candidate	Implemented	PipeImpedance	Hoidalen2013	src/engine/pipeimpedance/formulas/hoidalen2013.jl
internal-impedance/2014/hollow-conductor-mom-surface-admittance/Patel2014.md	Deferred	Deferred	-	-	-
internal-impedance/2015/anisotropic-helical-acsr-low-frequency/Merkushev2015.md	Candidate	Implemented	InternalImpedance	Merkushev2015	src/engine/internalimpedance/formulas/merkushev2015.jl
internal-impedance/2016/solid-round-continuous-fitted-approximation/Knight2016.md	Candidate	Implemented	InternalImpedance	Knight2016	src/engine/internalimpedance/formulas/knight2016.jl
internal-impedance/2019/double-layer-semiconducting-screen-effective-surfaces/Ghosh2019.md	Candidate	Equivalent	InternalImpedance	Ametani2004	src/engine/internalimpedance/formulas/ametani2004.jl
internal-impedance/2023/hollow-shield-surface-transfer-proximity/Gassab2023.md	Deferred	Deferred	-	-	-
internal-impedance/1965/steel-cored-aluminium-stranded-conductor/Morgan1965.md	Deferred	Deferred	-	-	-
internal-impedance/1987/subconductor-bundling/DeArizon1987.md	Deferred	Deferred	-	-	-
internal-impedance/2001/finite-pipe-hybrid-thickness/Yang2001.md	Candidate	Implemented	PipeImpedance	Yang2001	src/engine/pipeimpedance/formulas/yang2001.jl
internal-impedance/2005/finite-pipe-eddy-current/Fortin2005.md	Candidate	Equivalent	PipeImpedance	DaSilva2006	src/engine/pipeimpedance/formulas/dasilva2006.jl
internal-impedance/2013/coaxial-solid-conductor-partial-loops/Coufal2013.md	Deferred	Deferred	-	-	-
internal-impedance/2013/reluctance-network-arbitrary-cross-section/Bormann2013.md	Deferred	Deferred	-	-	-
internal-impedance/2015/three-core-cable-fem/Hafner2015.md	Deferred	Deferred	-	-	-
internal-impedance/2016/sheath-multipole-skin-proximity/Brito2016.md	Deferred	Deferred	-	-	-
internal-impedance/2019/finite-pipe-appendix-correction/DeSilva2019.md	Candidate	Equivalent	PipeImpedance	Yang2001	src/engine/pipeimpedance/formulas/yang2001.jl
internal-impedance/2022/n-semiconductor-screen-effective-surfaces/Ghosh2022.md	Candidate	Equivalent	InternalImpedance	Ametani2004	src/engine/internalimpedance/formulas/ametani2004.jl
internal-impedance/2025/pipe-proximity-mom-correction/Hoidalen2025.md	Deferred	Deferred	-	-	-
external-impedance/1972/full-wave-overhead-wire-interface/Wait1972a.md	Candidate	Equivalent	EarthImpedance	Carson1926	src/engine/earthimpedance/formulas/carson1926.jl
external-impedance/1978/full-wave-buried-cable/Wait1978.md	Candidate	Implemented	EarthImpedance	Wait1978	src/engine/earthimpedance/formulas/wait1978.jl
external-impedance/1988/multiconductor-full-wave-spatially-dispersive/Bridges1988.md	Deferred	Deferred	-	-	-
external-impedance/1973/wedepohl-wilcox-low-order/Wedepohl1973.md	Candidate	Verified	EarthImpedance	Wedepohl1973	src/engine/earthimpedance/formulas/wedepohlwilcox1973.jl
external-impedance/1978/vance-infinite-earth-hankel/Vance1978.md	Candidate	Verified	EarthImpedance	Vance1978	src/engine/earthimpedance/formulas/vance1978.jl
external-impedance/2005/petrache-infinite-earth-logarithmic/Petrache2005.md	Candidate	Verified	EarthImpedance	Petrache2005	src/engine/earthimpedance/formulas/petrache2005.jl
external-impedance/1926/homogeneous-earth-generalized-induction-green-function/Pollaczek1926.md	Candidate	Verified	EarthImpedance	Pollaczek1926	src/engine/earthimpedance/formulas/pollaczek1926.jl
external-impedance/1926/homogeneous-earth-overhead-integral/Carson1926.md	Candidate	Verified	EarthImpedance	Carson1926	src/engine/earthimpedance/formulas/carson1926.jl
external-impedance/1931/permeable-homogeneous-earth-overhead-integral/Wise1931.md	Candidate	Implemented	EarthImpedance	Wise1931	src/engine/earthimpedance/formulas/wise1931.jl
external-impedance/1934/homogeneous-earth-overhead-displacement-current-integral/Wise1934.md	Candidate	Verified	EarthImpedance	Wise1934	src/engine/earthimpedance/formulas/wise1934.jl
external-impedance/1958/homogeneous-earth-overhead-logarithmic-integral-evaluation/Iwamoto1958a.md	Candidate	Equivalent	EarthImpedance	Carson1926	src/engine/earthimpedance/formulas/carson1926.jl
external-impedance/1958/two-layer-earth-overhead-self-integral/Iwamoto1958b.md	Candidate	Equivalent	EarthImpedance	Sunde1949	src/engine/earthimpedance/formulas/sunde1949.jl
external-impedance/1968/two-layer-earth-overhead-mutual-integral/Sunde1949.md	Candidate	Implemented	EarthImpedance	Sunde1949	src/engine/earthimpedance/formulas/sunde1949.jl
external-impedance/1989/homogeneous-earth-mixed-low-frequency/Dawalibi1989.md	Candidate	Equivalent	EarthImpedance	Pawlik2018	src/engine/earthimpedance/formulas/pawlik2018.jl
external-impedance/1973/three-layer-earth-overhead-integral/Nakagawa1973.md	Candidate	Verified	EarthImpedance	Nakagawa1973	src/engine/earthimpedance/formulas/nakagawa1973.jl
external-impedance/1981/homogeneous-complex-ground-return-plane/Dubanton1969.md	Candidate	Verified	EarthImpedance	Dubanton1969	src/engine/earthimpedance/formulas/dubanton1969.jl
external-impedance/1981/multilayer-complex-ground-return-plane/Deri1981.md	Candidate	Implemented	EarthImpedance	Deri1981	src/engine/earthimpedance/formulas/deri1981.jl
external-impedance/1994/two-half-space-image-approximation/Pettersson1994.md	Candidate	Verified	EarthImpedance	Pettersson1994	src/engine/earthimpedance/formulas/pettersson1994.jl
external-impedance/1996/homogeneous-earth-underground-closed-form/Saad1996.md	Candidate	Verified	EarthImpedance	Saad1996	src/engine/earthimpedance/formulas/saad1996.jl
external-impedance/1996/homogeneous-earth-underground-small-argument/Saad1996.md	Candidate	Implemented	EarthImpedance	Saad1996	src/engine/earthimpedance/formulas/saad1996.jl
external-impedance/2006/homogeneous-earth-overhead-double-logarithmic/Noda2006.md	Candidate	Verified	EarthImpedance	Noda2006	src/engine/earthimpedance/formulas/noda2006.jl
external-impedance/2007/homogeneous-earth-overhead-frequency-dependent-soil/DeLima2007.md	Candidate	Implemented	EarthImpedance	DeLima2007	src/engine/earthimpedance/formulas/delima2007.jl
external-impedance/2007/homogeneous-earth-underground-frequency-dependent-soil/DeLima2007.md	Candidate	Implemented	EarthImpedance	DeLima2007	src/engine/earthimpedance/formulas/delima2007.jl
external-impedance/2007/homogeneous-earth-underground-logarithmic-exponential/Theethayi2007.md	Candidate	Verified	EarthImpedance	Theethayi2007	src/engine/earthimpedance/formulas/theethayi2007.jl
external-impedance/2008/arbitrary-multilayer-all-conductor-arrangements/Tsiamitros2008.md	Candidate	Verified	EarthImpedance	Tsiamitros2008	src/engine/earthimpedance/formulas/tsiamitros2008.jl
external-impedance/2008/pollaczek-mixed-algorithmic-evaluation/Uribe2008.md	Candidate	Equivalent	EarthImpedance	Pollaczek1926	src/engine/earthimpedance/formulas/pollaczek1926.jl
external-impedance/2008/mixed-lucca-two-step-image/Uribe2008.md	Candidate	Verified	EarthImpedance	Lucca1994	src/engine/earthimpedance/formulas/lucca1994.jl
external-impedance/2008/mixed-ccitt-recommended-approximation/Uribe2008.md	Candidate	Implemented	EarthImpedance	Uribe2008	src/engine/earthimpedance/formulas/uribe2008.jl
external-impedance/2008/mixed-wedepohl-low-frequency-approximation/Uribe2008.md	Candidate	Implemented	EarthImpedance	Uribe2008	src/engine/earthimpedance/formulas/uribe2008.jl
external-impedance/2009/homogeneous-earth-mixed-exponential-image/Ametani2009.md	Candidate	Verified	EarthImpedance	Ametani2009	src/engine/earthimpedance/formulas/ametani2009.jl
external-impedance/2009/homogeneous-earth-mixed-power-frequency/Ametani2009.md	Candidate	Implemented	EarthImpedance	Ametani2009	src/engine/earthimpedance/formulas/ametani2009.jl
external-impedance/2009/two-layer-earth-overhead-integral-correction/Papadopoulos2009.md	Candidate	Verified	EarthImpedance	Papadopoulos2009	src/engine/earthimpedance/formulas/papadopoulos2009.jl
external-impedance/2010/homogeneous-earth-underground-cable-correction/Papadopoulos2010b.md	Candidate	Verified	EarthImpedance	Papadopoulos2010b	src/engine/earthimpedance/formulas/papadopoulos2010.jl
external-impedance/2011/two-layer-earth-underground-upper-layer-integral/Papadopoulos2011.md	Candidate	Verified	EarthImpedance	Papadopoulos2011	src/engine/earthimpedance/formulas/papadopoulos2011.jl
external-impedance/2012/carson-overhead-dcim/Rallis2013.md	Candidate	Implemented	EarthImpedance	Pollaczek1926	src/engine/earthimpedance/formulas/pollaczek1926.jl
external-impedance/2012/carson-struve-closed-form/Lima2012.md	Candidate	Implemented	EarthImpedance	Lima2012	src/engine/earthimpedance/formulas/lima2012.jl
external-impedance/2012/pollaczek-bessel-half-odd-integer-series/Theodoulidis2012.md	Candidate	Implemented	EarthImpedance	Pollaczek1926	src/engine/earthimpedance/formulas/pollaczek1926.jl
external-impedance/2012/pollaczek-hypergeometric-series/Theodoulidis2012.md	Candidate	Implemented	EarthImpedance	Pollaczek1926	src/engine/earthimpedance/formulas/pollaczek1926.jl
external-impedance/2012/pollaczek-mixed-dcim/Rallis2013.md	Candidate	Implemented	EarthImpedance	Pollaczek1926	src/engine/earthimpedance/formulas/pollaczek1926.jl
external-impedance/2012/pollaczek-single-bessel-series/Theodoulidis2012.md	Candidate	Implemented	EarthImpedance	Pollaczek1926	src/engine/earthimpedance/formulas/pollaczek1926.jl
external-impedance/2012/pollaczek-underground-dcim/Rallis2013.md	Candidate	Implemented	EarthImpedance	Pollaczek1926	src/engine/earthimpedance/formulas/pollaczek1926.jl
external-impedance/2012/sunde-underground-asymptotic/Lima2012.md	Candidate	Implemented	EarthImpedance	Lima2012	src/engine/earthimpedance/formulas/lima2012.jl
external-impedance/2014/complex-depth-displacement-current-image/Ametani2014.md	Candidate	Equivalent	EarthImpedance	Pettersson1994	src/engine/earthimpedance/formulas/pettersson1994.jl
external-impedance/2014/homogeneous-earth-overhead-air-referenced-displacement-integral/Ametani2014.md	Candidate	Equivalent	EarthImpedance	Wise1934	src/engine/earthimpedance/formulas/wise1934.jl
external-impedance/2015/cable-hole-homogeneous-ground-mom-so/Patel2015.md	Deferred	Deferred	-	-	-
external-impedance/2015/wedepohl-integral-recursive-series/Iracheta2015.md	Candidate	Implemented	EarthImpedance	Pollaczek1926	src/engine/earthimpedance/formulas/pollaczek1926.jl
external-impedance/2016/cable-hole-multilayer-ground-mom-so/Patel2016.md	Deferred	Deferred	-	-	-
external-impedance/2018/complete-field-and-quasi-tem-underground/Xue2018b.md	Candidate	Verified	EarthImpedance	Xue2018b	src/engine/earthimpedance/formulas/xue2018.jl
external-impedance/2018/quasi-full-wave-single-conductor/DeLima2018.md	Candidate	Implemented	EarthImpedance	DeLima2018	src/engine/earthimpedance/formulas/delima2018.jl
external-impedance/2018/quasi-tem-overhead-mom-so-green-function/Xue2018a.md	Candidate	Equivalent	EarthImpedance	Wise1934	src/engine/earthimpedance/formulas/wise1934.jl
external-impedance/2018/two-half-space-mixed-full-spectrum/Pawlik2018.md	Candidate	Verified	EarthImpedance	Pawlik2018	src/engine/earthimpedance/formulas/pawlik2018.jl
external-impedance/2019/elliptic-tunnel-mathieu-series/Luo2019.md	Deferred	Deferred	-	-	-
external-impedance/2020/multilayer-equivalent-conductivity-recursion/MartinsBritto2020.md	Candidate	Verified	EHEM	MartinsBritto2020	src/earthprops/ehem/formulas/martinsbritto2020.jl
external-impedance/2021/four-layer-overhead-exact-hertzian/Xue2021.md	Candidate	Implemented	EarthImpedance	Xue2021	src/engine/earthimpedance/formulas/xue2021.jl
external-impedance/2021/n-layer-equivalent-propagation-overhead/Xue2021.md	Candidate	Verified	EHEM	Xue2021	src/earthprops/ehem/formulas/xue2021.jl
external-impedance/2023/three-medium-seabed-return-integral/DiLorenzo2023.md	Candidate	Equivalent	EarthImpedance	Tsiamitros2008	src/engine/earthimpedance/formulas/tsiamitros2008.jl
external-impedance/2023/xue-kernel-closed-form/DeConti2023a.md	Candidate	Implemented	EarthImpedance	DeConti2023a	src/engine/earthimpedance/formulas/deconti2023a.jl
external-impedance/2023/xue-kernel-small-argument/DeConti2023b.md	Candidate	Implemented	EarthImpedance	DeConti2023b	src/engine/earthimpedance/formulas/deconti2023b.jl
external-impedance/2024/sunde-pade-closed-form/DeConti2024.md	Candidate	Implemented	EarthImpedance	DeConti2024	src/engine/earthimpedance/formulas/deconti2024.jl
external-impedance/2024/homogeneous-earth-mixed-generalized/MartinsBritto2024.md	Candidate	Equivalent	EarthImpedance	Pawlik2018	src/engine/earthimpedance/formulas/pawlik2018.jl
external-impedance/1966/two-layer-earth-overhead-series-integral/Wedepohl1966.md	Candidate	Implemented	EarthImpedance	Wedepohl1966	src/engine/earthimpedance/formulas/wedepohl1966.jl
external-impedance/1996/multiconductor-lossy-ground-wideband/DAmore1996.md	Deferred	Deferred	-	-	-
external-impedance/1998/three-layer-earth-dcft/Moghram1998.md	Candidate	Implemented	EarthImpedance	Moghram1998	src/engine/earthimpedance/formulas/moghram1998.jl
external-impedance/1998/underground-earth-return-direct-quadrature/Nguyen1998.md	Candidate	Equivalent	EarthImpedance	Pollaczek1926	src/engine/earthimpedance/formulas/pollaczek1926.jl
external-impedance/2001/two-half-space-qtem-image/Maaouni2001.md	Candidate	Equivalent	EarthImpedance	Pettersson1994	src/engine/earthimpedance/formulas/pettersson1994.jl
external-impedance/2014/multilayer-spline-moment-tail/Lee2014.md	Candidate	Implemented	EarthImpedance	Lee2014	src/engine/earthimpedance/formulas/lee2014.jl
external-impedance/2018/multilayer-hvdc-loop-fem/Mouhaidali2018.md	Deferred	Deferred	-	-	-
external-impedance/2019/multilayer-svs-efie-overhead-buried/Zheng2019.md	Deferred	Deferred	-	-	-
external-impedance/2020/thin-insulated-wire-two-half-space/Pawlik2020.md	Candidate	Equivalent	EarthImpedance	Pawlik2018	src/engine/earthimpedance/formulas/pawlik2018.jl
external-impedance/2026/double-exponential-quadrature/Pires2026.md	Candidate	Implemented	EarthImpedance	Xue2018b	src/engine/earthimpedance/formulas/xue2018.jl
external-admittance/1972/full-wave-overhead-wire-interface/Wait1972a.md	Candidate	Implemented	EarthAdmittance	Wait1972a	src/engine/earthadmittance/formulas/wait1972a.jl
external-admittance/2017/buried-ground-admittance-asymptotic-extraction/Zhang2017.md	Candidate	Implemented	EarthAdmittance	Zhang2017	src/engine/earthadmittance/formulas/zhang2017.jl
external-admittance/1948/homogeneous-earth-overhead-potential-coefficient-approximation/Wise1948.md	Candidate	Implemented	EarthAdmittance	Wise1948	src/engine/earthadmittance/formulas/wise1948.jl
external-admittance/1948/homogeneous-earth-overhead-potential-coefficient/Wise1948.md	Candidate	Verified	EarthAdmittance	Wise1948	src/engine/earthadmittance/formulas/wise1948.jl
external-admittance/1957/homogeneous-earth-overhead-wire-scalar-potential/Kikuchi1957.md	Candidate	Implemented	EarthAdmittance	Kikuchi1957	src/engine/earthadmittance/formulas/kikuchi1957.jl
external-admittance/1994/two-half-space-image-approximation/Pettersson1994.md	Candidate	Verified	EarthAdmittance	Pettersson1994	src/engine/earthadmittance/formulas/pettersson1994.jl
external-admittance/2000/snow-layer-overhead-potential-coefficient/Ametani2001.md	Candidate	Equivalent	EarthAdmittance	Papadopoulos2009	src/engine/earthadmittance/formulas/papadopoulos2009.jl
external-admittance/2007/homogeneous-earth-buried-scalar-impedance-relation/Vance1978.md	Candidate	Implemented	EarthAdmittance	Vance1978	src/engine/earthadmittance/formulas/vance1978.jl
external-admittance/2009/two-layer-earth-overhead-potential-correction/Papadopoulos2009.md	Candidate	Verified	EarthAdmittance	Papadopoulos2009	src/engine/earthadmittance/formulas/papadopoulos2009.jl
external-admittance/2010/homogeneous-earth-underground-cable-correction/Papadopoulos2010b.md	Candidate	Verified	EarthAdmittance	Papadopoulos2010b	src/engine/earthadmittance/formulas/papadopoulos2010.jl
